icao24,r,t
489544,SP-LKD,B735
44cd76,OO-SKV,C560
484b01,PH-KZT,F70
4910d0,CS-DFP,C56X
400a5b,G-DBCA,A319
400fda,G-EZBI,A319
4007f6,G-YMMK,B772
4005ac,G-BVZE,B735
a70e7e,N554CE,GLF5
43e7bd,M-ILES,F2TH
391e0a,F-GHQK,A320
4951d0,CS-TNP,A320
4ca76a,EI-EFO,B738
48436a,PH-BQC,B772
400fde,G-EZBM,A319
40098c,G-MAJJ,JS41
3926a0,F-GJVA,A320
405b67,G-EZDN,A319
4ca1bb,EI-DAJ,B738
3c658d,D-AILM,A319
4b1611,HB-IJH,A320
45ad0d,OY-KHM,MD82
4ca1b9,EI-DAH,B738
4e+51,G-CDZH,B738
3c4d09,D-ACHI,CRJ2
4ca251,EI-DCR,B738
4d201c,9H-AEF,A320
461f33,OH-LVF,A319
4ca761,EI-EFF,B738
400ba2,G-CDEA,SB20
400ceb,G-EUXI,A321
400a99,G-STRF,B737
4004bc,G-OJMR,A30B
401344,G-FBEH,E190
4ca626,EI-DWZ,B738
4ca564,EI-DPY,B738
a42dbc,N369AA,B763
405a47,G-EUUY,A320
400562,G-GBTB,B734
400c76,G-OZBK,A320
400a69,G-EZEB,A319
400cd1,G-EZIR,A319
400674,G-VHOL,A343
76cd68,9V-SKH,A388
400574,G-BYAU,B752
4ca568,EI-DWC,B738
3c4d04,D-ACHD,CRJ2
400a7f,G-OZBI,A321
401101,G-CEJP,B738
4ca4ee,EI-DPJ,B738
76cef1,9V-SWQ,B77W
8960cb,A6-EBD,B77W
40040f,G-BNLP,B744
400711,G-FCLE,B752
405d66,G-FBEM,E190
aa77f0,N774AN,B772
4d2023,9H-AEM,A319
4010ab,G-TTIF,A321
400efe,G-EZBD,A319
4008b4,G-EUPT,A319
4b161f,HB-IJV,A320
4692ca,SX-DVJ,A320
400072,VP-CMP,H25B
484027,PH-BDO,B733
405d0c,G-EZDS,A319
4ca197,EI-CXN,B733
40059c,G-FTDF,A320
702008,S2-ADF,A310
40095d,G-TTOB,A320
4911b3,CS-DMS,BE40
47801d,LN-RMS,MD81
40093d,G-EUOD,A319
4ca256,EI-DHA,B738
400a07,G-EZJX,B737
400c47,G-EZIE,A319
406015,G-EZTK,A320
400774,G-VIIW,B772
3003cd,I-MLXT,F27
40089c,G-EZJC,B737
400683,G-VIIK,B772
30016c,I-BIMG,A319
405456,G-EUUV,A320
4ca75f,EI-EFD,B738
3c4e47,D-ACRG,CRJ2
4ca4ea,EI-DPF,B738
400615,G-CIVM,B744
896049,A6-EMF,B772
78013d,B-HOT,B744
4ca567,EI-DWB,B738
400d4b,G-OOBM,B763
47340f,HA-LPO,A320
4ca293,EI-DEM,A320
aa5191,N764NA,B763
4c8012,5B-DBD,A320
4006b0,G-CIVZ,B744
44915a,OO-DJZ,RJ85
400f63,G-VWEB,A346
405b64,G-EZDK,A319
400f99,G-DBCJ,A319
3c6657,D-AIRW,A321
c07465,C-GSCA,B763
40069c,G-ODSK,B733
400aa3,G-EZEK,A319
400b00,G-EUXH,A321
4ca643,EI-DYA,B738
